0,-500,500,10,3,0
0,-450,500,10,3,0
0,-400,500,10,3,0
0,-350,500,10,3,0
0,-300,500,10,3,0
0,-250,500,10,3,0
0,-200,500,10,3,0
0,-150,500,10,3,0
0,-100,500,10,3,0
0,-50,500,10,3,0.01
0,0,500,10,3,0.01
0,50,500,10,3,0.01
0,100,500,10,3,0.01
0,150,500,10,3,0.01
0,200,500,10,3,0.01
0,250,500,10,3,0.01
0,300,500,10,3,0.01
0,350,500,10,3,0.01
0,400,500,10,3,0.01
0,450,500,10,3,0.01
0,500,500,10,3,0.01
3,-434.883,-516.285,5,E,0
3,-410.221,-372.495,5,E,0
3,-429.388,-432.624,5,E,0
3,-428.765,-292.142,5,E,0
3,-369.752,-262.062,5,E,0
3,-175.719,-373.803,5,N,0
3,-77.6559,-206.145,5,E,0
3,-108.825,-134.407,5,E,0
3,-147.334,-61.9619,5,E,0
3,-79.1685,-166.371,5,E,0
3,-56.2115,7.01775,5,E,0
3,-1.89915,-52.2945,5,E,0
3,30.3555,44.0306,5,E,0
3,108.771,502.162,5,E,0
3,196.237,501.291,5,E,0
3,202.214,501.703,5,E,0
3,290.864,490.303,5,E,0
3,345.47,498.122,5,E,0
3,401.813,498.953,5,E,0
3,448.559,501.879,5,E,0
